Vaccine Candidate	Trial Phase	Donor Country	Finalized Commitment	Manufacturer	Manufacturer Primary Location	Recipient Country 	Doses Committed (in millions)	1 or 2 doses	Timeline 	Donation/Purchased	Secondary or Tertiary Transfer	Transfer Type	Recipient Income Level	 GNI/capita (Atlas method) 	GNI (Current USD, in millions)	Doses/Capita	Proportion of population	 Population size 	Population size (in millions)	Notes	Source
Sinovac	Approved	China	Yes			Philippines	1	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 3,850 	415,750.09	0.0092	0.462%	 108,116,615 	 108.117 	As of April 2021, 0.6m doses already donated, and China has said it will donate 0.4m doses more. The Philippines also has a procurement arrangement with Sinovac	https://cnnphilippines.com/news/2021/3/4/China-donate-400-000-COVID-19-vaccine-doses-Duterte-.html ; https://www.reuters.com/article/us-health-coronavirus-philippines-vaccin/philippines-receives-first-batch-of-covid-19-vaccine-doses-donated-by-china-idUSKCN2AS09I?il=0
Sinopharm/Beijing	Approved	China	Yes			Senegal	0.3	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 1,460 	23,752.37	0.0184	0.920%	 16,296,364 	 16.296 	Donated doses updated to 0.3m from earlier report of 0.2m	https://www.africanews.com/2021/02/23/senegal-begins-covid-19-vaccination-with-doses-from-china-s-sinopharm// ; https://www.barrons.com/news/china-donates-300-000-vaccine-doses-to-senegal-01620828314
Sinopharm/Beijing	Approved	China	Yes			Sierra Leone	0.2	2	Feb-21	Donation	Secondary	Direct	Low income	 540 	4,189.15	0.0256	1.280%	 7,813,215 	 7.813 		http://www.xinhuanet.com/english/2021-02/26/c_139767646.htm#:~:text=China%20donates%20200%2C000%20doses%20of%20COVID%2D19%20vaccine%20to%20Sierra%20Leone,-Source%3A%20Xinhua%7C%202021&text=FREETOWN%2C%20Feb.,support%20the%20country's%20vaccination%20campaign.
Sinopharm/Beijing	Approved	China	Yes			Solomon Islands	0.05	2	Apr-21	Donation	Secondary	Direct	Lower middle income	 2,390 	1,598.87	0.0746	3.732%	 669,823 	 0.670 		https://solomons.gov.sb/transfer-certificate-for-the-50000-sinopharm-vaccines-signed/
Sinopharm/Beijing	Approved	China	Yes			Somalia	0.2	2	Apr-21	Donation	Secondary	Direct	Low income	 .. 	#VALUE!	0.0130	0.648%	 15,442,905 	 15.443 		http://www.xinhuanet.com/english/africa/2021-04/12/c_139873472.htm
Not available	#N/A	China	Yes			South Sudan	0.1	#N/A	Mar-21	Donation	Secondary	Direct	Low income	 .. 	11,669.23	0.0090	#N/A	 11,062,113 	 11.062 		http://www.focac.org/eng/zfgx_4/rwjl/t1862917.htm
Sinopharm/Beijing	Approved	China	Yes		China	Sri Lanka	1.1	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 4,020 	87,694.06	0.0505	2.523%	 21,803,000 	 21.803 	Donation of 0.6m finalised and recieved in April 2021, which will be used to vaccinate the Chinese workers in Sri Lanka. Another batch of 0.5m doses recieved in May 2021	https://www.newindianexpress.com/world/2021/may/26/sri-lanka-gets-second-covid-19vaccine-donation-from-china-2307745.html ; https://www.dw.com/en/china-sri-lanka-coronavirus-vaccines/a-57136001#:~:text=particularly%20in%20Asia.-,Sri%20Lanka%20recently%20received%20600%2C000%20doses%20of%20China's%20Sinopharm%20vaccine,as%20well%20as%20health%20equipment. ; https://www.ndtv.com/world-news/china-steps-up-covid-19-vaccine-diplomacy-to-donate-3-lakh-doses-to-sri-lanka-report-2359634
Sinopharm/Beijing	Approved	China	Yes			Sudan	0.25	2	Mar-21	Donation	Secondary	Direct	Low income	 590 	33,126.33	0.0058	0.292%	 42,813,238 	 42.813 		https://www.reuters.com/article/health-coronavirus-sudan-china/sudan-to-receive-first-batch-of-sinopharm-vaccines-suna-reports-idUSL1N2LM243 ; http://en.people.cn/n3/2021/0325/c90000-9832417.html
Sinopharm/Beijing	Approved	China	Yes			Syrian Arab Republic	0.15	2	Apr-21	Donation	Secondary	Direct	Low income	 .. 	15,898.30	0.0088	0.439%	 17,070,135 	 17.070 		https://www.reuters.com/article/health-coronavirus-vaccine-syria-int-idUSKBN2A4243 ; https://www.plenglish.com/index.php?o=rn&id=65972&SEO=syria-to-receive-covid-19-vaccines-from-russia-and-china
Sinovac	Approved	China	Yes			Timor-Leste	0.1	2	Apr-21	Donation	Secondary	Direct	Lower middle income	 2,020 	2,606.90	0.0773	3.867%	 1,293,119 	 1.293 		http://timor-leste.gov.tl/?p=27788&lang=en&n=1
Sinovac	Approved	China	Yes			Togo	0.2	2	Apr-21	Donation	Secondary	Direct	Low income	 690 	5,604.57	0.0247	1.237%	 8,082,366 	 8.082 		https://www.togofirst.com/en/health/2604-7727-200-000-doses-of-sinovac-vaccines-received
Sinopharm/Beijing	Approved	China	Yes			Trinidad and Tobago	0.1	2	May-21	Donation	Secondary	Direct	High income	 17,010 	23,723.24	0.0717	3.584%	 1,394,973 	 1.395 		https://www.reuters.com/business/healthcare-pharmaceuticals/chinese-media-mocks-us-donation-80-vaccine-vials-trinidad-tobago-2021-06-16/ ; https://newsday.co.tt/2021/03/24/india-and-china-donate-vaccines-to-trinidad-and-tobago/
Not available	#N/A	China	Yes			Tunisia	0.2	#N/A	Mar-21	Donation	Secondary	Direct	Lower middle income	 3,370 	39,362.52	0.0171	#N/A	 11,694,719 	 11.695 		https://www.washingtonpost.com/business/tunisia-receives-first-batch-of-coronavirus-vaccines/2021/03/09/6e732390-8115-11eb-be22-32d331d87530_story.html
Sinopharm/Beijing	Approved	China	No			Uganda	0.3	2	Mar-21	Donation	Secondary	Direct	Low income	 780 	34,748.45	0.0068	0.339%	 44,269,594 	 44.270 	Donation has not been finalized.	https://www.globaltimes.cn/page/202103/1218046.shtml
Not available	#N/A	China	Yes			UN Peacekeepers	0.3	#N/A	Mar-21	Donation	Secondary	Direct	0	 -   	0.00	#DIV/0!	#N/A	 -   	 -   		http://www.xinhuanet.com/english/2021-03/16/c_139812780.htm
Sinopharm/Beijing	Approved	China	Yes			Venezuela	0.5	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 13,080 	392,924.53	0.0175	0.877%	 28,515,829 	 28.516 		https://www.reuters.com/article/health-coronavirus-venezuela-idUSL2N2L019T
Sinopharm/Beijing	Approved	China	Yes			West Bank and Gaza	0.1	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 4,190 	19,140.22	0.0213	1.067%	 4,685,306 	 4.685 		https://www.reuters.com/article/us-health-coronavirus-palestinian-rivals/palestinians-receive-40000-covid-19-vaccines-from-uae-idUSKBN2B32GM
Sinopharm/Beijing	Approved	China	Yes			Zimbabwe	0.5	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 1,390 	20,392.45	0.0341	1.707%	 14,645,468 	 14.645 	Donations sent in two batches of 200,000 doses each and a third batch of 0.1m doses in May	https://www.reuters.com/article/us-health-coronavirus-vaccines/factbox-vaccines-donated-by-the-united-states-and-china-idUSKCN2DL0AO ; https://www.herald.co.zw/china-donates-more-vaccines-to-zimbabwe/ ; http://www.xinhuanet.com/english/2021-03/02/c_139776211.htm ; https://www.voanews.com/covid-19-pandemic/zimbabwe-appeals-vaccine-funding-amid-surge-covid-19-cases ; https://www.biznews.com/briefs/2021/02/05/zimbabwe-covid-19-vaccine-china
Sinovac	Approved	China	Yes			Armenia	0.1	2	May-21	Donation	Secondary	Direct	Upper middle income	 4,680 	13,834.50	0.0338	1.690%	 2,957,731 	 2.958 	The Armenian government kept encouraging people to get vaccinated against COVID-19 after receiving at the weekend 100,000 doses of a vaccine donated by China.	https://mirrorspectator.com/2021/05/04/china-sends-largest-batch-of-vaccines-yet-to-armenia/
Sinopharm/Beijing	Approved	China	Yes			Chad	0.2	2	Jun-21	Donation	Secondary	Direct	Low income	 700 	11,171.84	0.0125	0.627%	 15,946,876 	 15.947 	Chad received 200,000 doses of COVID-19 vaccines as a donation from China	https://reliefweb.int/report/chad/chad-quick-alerts-4-june-2021 ; http://www.xinhuanet.com/english/africa/2021-06/03/c_139987467.htm
Sinopharm/Beijing	Approved	China	Yes			Nepal	1	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 1,090 	31,058.96	0.0350	1.748%	 28,608,710 	 28.609 	Reported separately as HT has called it a 'grant' but most other sources have mentioned donation.	https://www.reuters.com/article/us-health-coronavirus-vaccines/factbox-vaccines-donated-by-the-united-states-and-china-idUSKCN2DL0AO ; https://apnews.com/article/nepal-china-coronavirus-pandemic-business-health-e2e459b397023458568f7ca3ab958594 ; https://www.hindustantimes.com/world-news/china-will-donate-1-million-doses-of-covid-19-vaccines-to-nepal-president-xi-jinping-101622042234269.html
Sinopharm/Beijing	Approved	China	Yes			North Macedonia	0.1	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 5,840 	12,164.37	0.0480	2.400%	 2,083,459 	 2.083 	North Macedonia will expand its COVID-19 immunization program next week after the small Balkan nation received a first shipment of 200,000 doses of the Chinese-made Sinopharm vaccine on April 30.	https://www.rferl.org/a/north-macedonia-china-vaccines-/31232663.html
Sinopharm/Beijing	Approved	China	Yes			Serbia	0.2	2	May-21	Donation	Secondary	Direct	Upper middle income	 7,030 	48,848.12	0.0288	1.440%	 6,944,975 	 6.945 	Doses donated to the Ministry of Defense	http://www.beijing.mfa.gov.rs/importanttext.php?subaction=showfull&id=1622179853&ucat=19,90&template=Frontpage3&
Sinovac	Approved	China	Yes			Thailand	1	2	May-21	Donation	Secondary	Direct	Upper middle income	 7,260 	505,271.07	0.0144	0.718%	 69,625,582 	 69.626 	Thailand has agreed to vaccinate Chinese nationals living in the country. 2 batches of 0.5m each delivered in May and June 2021	https://apnews.com/article/china-thailand-coronavirus-pandemic-health-0c0928db9f49e151ed729b15aa9fb85d ; https://thailand.prd.go.th/mobile_detail.php?cid=2&nid=11382 ; https://www.reuters.com/article/us-health-coronavirus-vaccines/factbox-vaccines-donated-by-the-united-states-and-china-idUSKCN2DL0AO
Sinopharm/Beijing	Approved	China	Yes			Zambia	0.1	2	May-21	Donation	Secondary	Direct	Lower middle income	 1,430 	25,615.98	0.0056	0.280%	 17,861,030 	 17.861 	Zambia has agreed to vaccinate Chinese nationals living in the country	https://www.aa.com.tr/en/africa/zambia-immunizes-chinese-expats-with-sinopharm-vaccines/2254122
Not available	#N/A	China	Unclear			COVAX	10	#N/A		Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0015	#N/A	 6,829,734,856 	 6,829.735 	China announced in Feb 2021 that it would donate 10m doses to COVAX as 3 of its vaccine developers (Sinopharm, Sinovac, and CanSino) applied to join the initiative. Since then, 2 of these vaccines have been approved by WHO, but updates on donations are awaited	https://www.reuters.com/article/us-health-coronavirus-vaccine-china-idUSKBN2A30VZ
Sinopharm/Beijing	Approved	China	Yes			Vietnam	0.5	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 2,590 	249,440.75	0.0052	0.259%	 96,462,106 	 96.462 	Doses to be used for vaccinating Chinese citizens, Vietnamese citizens going for work or study in China and those living near the China borders	https://www.reuters.com/world/asia-pacific/vietnam-receives-500000-sinopharm-covid-19-vaccine-doses-donation-china-2021-06-20/
Sinovac	Approved	China	Terminated			Costa Rica		2	Jun-21	Donation	Secondary	Direct	Upper middle income	 11,700 	59,048.61	0.0000	0.000%	 5,047,561 	 5.048 	Costa Rica declined a donation of unknown number of Sinovac doses citing low efficiency of the vaccine	https://www.cnbc.com/2021/06/17/costa-rica-rejects-delivery-of-chinas-sinovac-covid-19-vaccine.html
Sinovac	Approved	China	Yes			Malaysia	0.5	2	Jun-21	Donation	Secondary	Direct	Upper middle income	 11,230 	358,835.30	0.0156	0.782%	 31,949,777 	 31.950 	The Chinese government will contribute 500,000 doses of Sinovac's CoronaVac vaccines to Malaysia.	https://www.nst.com.my/news/nation/2021/06/699344/china-donate-500k-vaccine-doses-malaysia
AstraZeneca/Oxford	Approved	Congo, Dem. Rep.	Yes	Serum Institute	India	Angola	0.5	2	Apr-21	Loan	Tertiary	Intermediary - COVAX	Lower middle income	 2,960 	94,225.02	0.0157	0.786%	 31,825,295 	 31.825 	DRC is redistributing its COVAX allocated doses as they are set to expire on 24 June 2021. It will recover those doses from COVAX at a later stage and hence has been classified as a 'loan'. The redistribution is also taking place through COVAX. In total 1.3m doses will be redistributed.	https://www.reuters.com/world/africa/congo-starts-re-deployment-expiring-covid-19-vaccines-other-african-countries-2021-04-29/ ; https://www.africanews.com/2021/04/28/unicef-to-redistribute-more-than-1-3m-dr-congo-vaccines-to-avoid-expiry//
AstraZeneca/Oxford	Approved	Congo, Dem. Rep.	Yes	Serum Institute	India	Ghana	0.35	2	May-21	Loan	Tertiary	Intermediary - COVAX	Lower middle income	 2,220 	67,507.60	0.0115	0.575%	 30,417,856 	 30.418 	DRC is redistributing its COVAX allocated doses as they are set to expire on 24 June 2021. It will recover those doses from COVAX at a later stage and hence has been classified as a 'loan'. The redistribution is also taking place through COVAX. In total 1.3m doses will be redistributed.	https://www.reuters.com/world/africa/congo-starts-re-deployment-expiring-covid-19-vaccines-other-african-countries-2021-04-29/ ; https://www.africanews.com/2021/04/28/unicef-to-redistribute-more-than-1-3m-dr-congo-vaccines-to-avoid-expiry// ; https://www.reuters.com/world/africa/ghana-start-second-vaccine-doses-with-re-deployed-congo-covax-shots-2021-05-07/
AstraZeneca/Oxford	Approved	Congo, Dem. Rep.	Yes	Serum Institute	India	Togo		2		Loan	Tertiary	Intermediary - COVAX	Low income	 690 	5,604.57	0.0000	0.000%	 8,082,366 	 8.082 	DRC is redistributing its COVAX allocated doses as they are set to expire on 24 June 2021. It will recover those doses from COVAX at a later stage and hence has been classified as a 'loan'. The redistribution is also taking place through COVAX. In total 1.3m doses will be redistributed, but individual allocations are not known for all countries.	https://www.reuters.com/world/africa/congo-starts-re-deployment-expiring-covid-19-vaccines-other-african-countries-2021-04-29/ ; https://www.africanews.com/2021/04/28/unicef-to-redistribute-more-than-1-3m-dr-congo-vaccines-to-avoid-expiry//
AstraZeneca/Oxford	Approved	Congo, Dem. Rep.	Yes	Serum Institute	India	Madagascar		2		Loan	Tertiary	Intermediary - COVAX	Low income	 520 	14,071.88	0.0000	0.000%	 26,969,307 	 26.969 	DRC is redistributing its COVAX allocated doses as they are set to expire on 24 June 2021. It will recover those doses from COVAX at a later stage and hence has been classified as a 'loan'. The redistribution is also taking place through COVAX. In total 1.3m doses will be redistributed, but individual allocations are not known for all countries.	https://www.reuters.com/world/africa/congo-starts-re-deployment-expiring-covid-19-vaccines-other-african-countries-2021-04-29/ ; https://www.africanews.com/2021/04/28/unicef-to-redistribute-more-than-1-3m-dr-congo-vaccines-to-avoid-expiry//
AstraZeneca/Oxford	Approved	Congo, Dem. Rep.	Yes	Serum Institute	India	Central African Republic		2		Loan	Tertiary	Intermediary - COVAX	Low income	 520 	2,449.53	0.0000	0.000%	 4,745,185 	 4.745 	DRC is redistributing its COVAX allocated doses as they are set to expire on 24 June 2021. It will recover those doses from COVAX at a later stage and hence has been classified as a 'loan'. The redistribution is also taking place through COVAX. In total 1.3m doses will be redistributed, but individual allocations are not known for all countries.	https://www.reuters.com/world/africa/congo-starts-re-deployment-expiring-covid-19-vaccines-other-african-countries-2021-04-29/ ; https://www.africanews.com/2021/04/28/unicef-to-redistribute-more-than-1-3m-dr-congo-vaccines-to-avoid-expiry//
AstraZeneca/Oxford	Approved	Croatia	Yes			Bosnia and Herzegovina	0.03	2	Jun-21	Donation	Secondary	Direct	Upper middle income	 6,170 	20,375.25	0.0091	0.454%	 3,301,000 	 3.301 	0.015m doses sent for the university hospital in Mostar and the rest will be distributed to the general public	https://vlada.gov.hr/news/croatia-donates-30-000-doses-of-astrazeneca-vaccine-to-bosnia/32278
Not available	#N/A	Croatia	Yes			Montenegro	0.01	#N/A		Donation	Secondary	Direct	Upper middle income	 9,060 	5,634.42	0.0161	#N/A	 622,137 	 0.622 		https://seenews.com/news/croatia-to-donate-20000-covid-19-vaccines-to-albania-n-macedonia-741143
Not available	#N/A	Croatia	Yes			Kosovo	0.01	#N/A		Donation	Secondary	Direct	Upper middle income	 4,640 	8,333.44	0.0056	#N/A	 1,794,248 	 1.794 		https://seenews.com/news/croatia-to-donate-20000-covid-19-vaccines-to-albania-n-macedonia-741143
Not available	#N/A	Croatia	Yes			North Macedonia	0.01	#N/A		Donation	Secondary	Direct	Upper middle income	 5,840 	12,164.37	0.0048	#N/A	 2,083,459 	 2.083 		https://seenews.com/news/croatia-to-donate-20000-covid-19-vaccines-to-albania-n-macedonia-741143
Not available	#N/A	Croatia	Yes			Albania	0.01	#N/A		Donation	Secondary	Direct	Upper middle income	 5,220 	14,906.83	0.0035	#N/A	 2,854,191 	 2.854 		https://seenews.com/news/croatia-to-donate-20000-covid-19-vaccines-to-albania-n-macedonia-741143
AstraZeneca/Oxford	Approved	Denmark	Yes			Germany	0.055	2	Apr-21	Loan	Secondary	Direct	High income	 48,580 	4,038,526.16	0.0007	0.033%	 83,132,799 	 83.133 	Unwanted doses sent on loan to German border state	https://www.euronews.com/2021/04/21/denmark-loans-55-000-astrazeneca-vaccines-to-neighbouring-german-state
Not available	#N/A	Denmark	Yes			COVAX	3	#N/A		Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0004	#N/A	 6,829,734,856 	 6,829.735 	Donation pledged to COVAX during the GAVI Summit in June 2021	https://www.gavi.org/news/media-room/world-leaders-unite-commit-global-equitable-access-covid-19-vaccines
AstraZeneca/Oxford	Approved	Denmark	Yes			Ukraine	0.5	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 3,370 	141,637.01	0.0113	0.563%	 44,385,155 	 44.385 	Unclear if this part of the existing pledge to donate total 3m doses in 2021	https://www.reuters.com/world/denmark-ready-deliver-500000-covid-19-vaccine-doses-ukraine-ukraine-president-2021-06-11/
AstraZeneca/Oxford	Approved	Denmark	Yes			Kenya	0.3587	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 1,750 	91,823.75	0.0068	0.341%	 52,573,973 	 52.574 	Kenya received 358,700 AstraZeneca vaccines to boost its second-dose round of Covid-19 inoculations	https://www.unicef.org/kenya/press-releases/over-350000-covid-19-vaccine-doses-arrive-kenya-donated-denmark
AstraZeneca/Oxford	Approved	Dominica	Yes	Serum Institute	India	Antigua and Barbuda	0.005	2	Feb-21	Donation	Tertiary	Direct	High income	 16,600 	1,611.79	0.0515	2.574%	 97,118 	 0.097 	Dominica received a vaccine donation from India, then proceeded to donate some of those doses to other countries, including Antigua and Barbuda	https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/
AstraZeneca/Oxford	Approved	Dominica	Yes	Serum Institute	India	Grenada	0.0005	2	Feb-21	Donation	Tertiary	Direct	Upper middle income	 9,840 	1,102.27	0.0045	0.223%	 112,003 	 0.112 	Dominica received a vaccine donation from India, then proceeded to donate some of those doses to Grenada.	https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/
AstraZeneca/Oxford	Approved	Dominica	Yes	Serum Institute	India	St. Kitts and Nevis	0.002	2	Feb-21	Donation	Tertiary	Direct	High income	 19,290 	1,019.36	0.0379	1.893%	 52,834 	 0.053 	Dominica received a vaccine donation from India, then donated some of those doses to St. Kitts and Nevis	https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/
AstraZeneca/Oxford	Approved	Dominica	Yes	Serum Institute	India	St. Lucia	0.002	2	Feb-21	Donation	Tertiary	Direct	Upper middle income	 11,020 	2,014.24	0.0109	0.547%	 182,790 	 0.183 	Dominica received a vaccine donation from India, then donated some of those doses to St. Lucia.	https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/
AstraZeneca/Oxford	Approved	Dominica	Yes	Serum Institute	India	St. Vincent and the Grenadines	0.005	2	Feb-21	Donation	Tertiary	Direct	Upper middle income	 7,460 	825.44	0.0452	2.261%	 110,589 	 0.111 	Dominica received a vaccine donation from India, then donated some of those doses to St. Vincent and the Grenadines	https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/
AstraZeneca/Oxford	Approved	El Salvador	Yes			Honduras	0.034	2	May-21	Donation	Secondary	Direct	Lower middle income	 2,390 	23,303.43	0.0035	0.174%	 9,746,117 	 9.746 		https://www.as-coa.org/articles/timeline-tracking-latin-americas-road-vaccination
Not available	#N/A	Estonia	Unclear			Unclear	0.2	#N/A		Donation	Secondary	Unclear	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Estonia had announced that it was looking for ways to donate 0.4m doses but other details are unknown. Later it announced that Georgia and Moldova will receive 0.1m doses each. However, later same month Reuters reported that several thousand doses marked for donation were destroyed due to refrigeration failure. The donation commitment remains unclear now	https://news.err.ee/1608233595/estonia-looking-to-donate-800-000-coronavirus-vaccines ; https://agenda.ge/en/news/2021/1657 ; https://www.reuters.com/business/healthcare-pharmaceuticals/estonia-fridge-failure-destroys-more-than-68000-covid-shots-2021-06-29/
Not available	#N/A	Estonia	Unclear			Georgia	0.1	#N/A		Donation	Secondary	Direct	Upper middle income	 4,780 	17,789.95	0.0269	#N/A	 3,720,382 	 3.720 	Estonia has made an official announcement to donate the vaccines but the timeline and vaccine to be donated are unknown. Estonia had earlier announced that it was looking to donate 0.4m doses and this is considered a part of that plan. However, later same month Reuters reported that several thousand doses marked for donation were destroyed due to refrigeration failure. The donation commitment remains unclear now	https://agenda.ge/en/news/2021/1657 ; https://www.reuters.com/business/healthcare-pharmaceuticals/estonia-fridge-failure-destroys-more-than-68000-covid-shots-2021-06-29/
Not available	#N/A	Estonia	Unclear			Moldova	0.1	#N/A		Donation	Secondary	Direct	Lower middle income	 4,590 	12,194.85	0.0376	#N/A	 2,657,637 	 2.658 	Estonia has made an official announcement to donate the vaccines but the timeline and vaccine to be donated are unknown. Estonia had earlier announced that it was looking to donate 0.4m doses and this is considered a part of that plan. However, later same month Reuters reported that several thousand doses marked for donation were destroyed due to refrigeration failure. The donation commitment remains unclear now	https://agenda.ge/en/news/2021/1657 ; https://www.reuters.com/business/healthcare-pharmaceuticals/estonia-fridge-failure-destroys-more-than-68000-covid-shots-2021-06-29/
Pfizer/BioNTech	Approved	European Union	Yes			Albania	0.145	2	May-21	Donation	Secondary	Direct	Upper middle income	 5,220 	14,906.83	0.0508	2.540%	 2,854,191 	 2.854 	Doses donated by EU, facilitated by Austria	https://www.aa.com.tr/en/europe/eu-to-provide-651-000-vaccine-doses-to-western-balkans/2214678#
Pfizer/BioNTech	Approved	European Union	Yes			Kosovo	0.095	2	May-21	Donation	Secondary	Direct	Upper middle income	 4,640 	8,333.44	0.0529	2.647%	 1,794,248 	 1.794 	Doses donated by EU, facilitated by Austria	https://www.aa.com.tr/en/europe/eu-to-provide-651-000-vaccine-doses-to-western-balkans/2214678#
Pfizer/BioNTech	Approved	European Union	Yes			North Macedonia	0.119	2	May-21	Donation	Secondary	Direct	Upper middle income	 5,840 	12,164.37	0.0571	2.856%	 2,083,459 	 2.083 	Doses donated by EU, facilitated by Austria	https://www.aa.com.tr/en/europe/eu-to-provide-651-000-vaccine-doses-to-western-balkans/2214678#
Pfizer/BioNTech	Approved	European Union	Yes			Montenegro	0.042	2	May-21	Donation	Secondary	Direct	Upper middle income	 9,060 	5,634.42	0.0675	3.375%	 622,137 	 0.622 	Doses donated by EU, facilitated by Austria	https://www.aa.com.tr/en/europe/eu-to-provide-651-000-vaccine-doses-to-western-balkans/2214678#
Pfizer/BioNTech	Approved	European Union	Yes			Bosnia and Herzegovina	0.214	2	May-21	Donation	Secondary	Direct	Upper middle income	 6,170 	20,375.25	0.0648	3.241%	 3,301,000 	 3.301 	Doses donated by EU, facilitated by Austria	https://www.aa.com.tr/en/europe/eu-to-provide-651-000-vaccine-doses-to-western-balkans/2214678#
Pfizer/BioNTech	Approved	European Union	Yes			Serbia	0.036	2	May-21	Donation	Secondary	Direct	Upper middle income	 7,030 	48,848.12	0.0052	0.259%	 6,944,975 	 6.945 	Doses donated by EU, facilitated by Austria	https://www.aa.com.tr/en/europe/eu-to-provide-651-000-vaccine-doses-to-western-balkans/2214678#
Not available	#N/A	European Union	No			Unclear	100	#N/A		Donation	Secondary	Unclear	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	EU has announced that it intends to donate atleast 100m doses to low and middle income countries. Other details are not available	https://www.reuters.com/article/us-health-coronavirus-eu-vonderleyen/eu-to-donate-at-least-100-million-covid-vaccines-to-poorer-nations-this-year-idUSKCN2D212U
Not available	#N/A	France	Yes			COVAX	30	#N/A	Apr-21	Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0044	#N/A	 6,829,734,856 	 6,829.735 	France initially planned to donate 0.5m doses by June 2021; has only specified that 0.1m will be AstraZeneca, rest are unclear. France announced late May 2021 that it would donate 30m doses total to COVAX	https://www.reuters.com/world/europe/france-kicks-off-europes-vaccine-donations-poorer-states-2021-04-21/ ; https://economictimes.indiatimes.com/news/india/french-president-macron-reiterates-support-solidarity-with-india/articleshow/82996359.cms ; https://www.france24.com/en/live-news/20210521-pharma-firms-g20-leaders-pledge-vaccines-for-poorer-nations
AstraZeneca/Oxford	Approved	France	Yes			COVAX	0.1	2	Apr-21	Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0000	0.001%	 6,829,734,856 	 6,829.735 	France has donated 0.1m doses of AZ. Plans to donate 0.5m doses total from different vaccines	https://www.reuters.com/world/europe/france-kicks-off-europes-vaccine-donations-poorer-states-2021-04-21/ ; https://www.reuters.com/world/europe/frances-macron-plans-donate-500000-covid-vaccine-shots-2021-04-23/
AstraZeneca/Oxford	Approved	France	Yes			Senegal	0.184	2	Jun-21	Donation	Secondary	Intermediary - COVAX	Lower middle income	 1,460 	23,752.37	0.0113	0.565%	 16,296,364 	 16.296 	France is donating the doses to Senegal via COVAX	https://www.reuters.com/world/africa/france-donates-184000-astrazeneca-doses-senegal-via-covax-2021-06-03/
Not available	#N/A	France	Yes			Rwanda	0.1176	#N/A	May-21	Donation	Secondary	Direct	Low income	 830 	10,448.06	0.0093	#N/A	 12,626,950 	 12.627 	Doses donated during the French President visit to Rwanda	https://www.gov.rw/blog-detail/president-emmanuel-macron-visits-rwanda ; http://www.xinhuanet.com/english/2021-05/28/c_139975676.htm
Not available	#N/A	Germany	Yes			Unclear	30	#N/A		Donation	Secondary	Unclear	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Germany has pledged to donate 30m doses; not clear if this will be donated to COVAX or bilaterally to poor nations	https://www.politico.eu/article/eu-leaders-agree-to-donate-100m-vaccine-doses/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/merkel-pledges-money-doses-help-poorer-countries-vaccinate-2021-05-21/
AstraZeneca/Oxford	Approved	Greece	Yes			North Macedonia	0.02	2	Jun-21	Donation	Secondary	Direct	Upper middle income	 5,840 	12,164.37	0.0096	0.480%	 2,083,459 	 2.083 		https://www.reuters.com/world/europe/greece-offer-covid-19-vaccines-neigbouring-countries-spokeswoman-2021-06-03/ ; https://euronews.al/en/albania/2021/06/14/greece-donates-20-000-vaccine-doses-to-albania/
AstraZeneca/Oxford	Approved	Greece	Yes			Albania	0.02	2	Jun-21	Donation	Secondary	Direct	Upper middle income	 5,220 	14,906.83	0.0070	0.350%	 2,854,191 	 2.854 		https://www.reuters.com/world/europe/greece-offer-covid-19-vaccines-neigbouring-countries-spokeswoman-2021-06-03/ ; https://www.athina984.gr/en/2021/06/14/alvania-efthasan-sta-tirana-20-000-emvolia-astrazeneca-poy-dorise-sti-chora-i-ellada/ ; https://euronews.al/en/albania/2021/06/14/greece-donates-20-000-vaccine-doses-to-albania/
