Vaccine Developer ,Manufacturer                            ,Manufacturer Type     ,Manufacturer Location,Income Level2      ,Anticipated Production Dose/Year (in millions),Anticipated Production Total Doses (in millions),Date Arrangement Publicly Announced,Part of Combination Procurement Arrangement,Government Sponsored/Supported,Arrangement Category     ,Arrangement Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Associated upgrades/technology transfer details                                                                                                                                                                                                                                                                                                                                                            ,Financing Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Primary Market Intended For,Income Level3      ,Secondary Market         ,Income Level4      ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Sources
Inovio            ,Richter-Helm BioLogics GmbH & Co        ,Privately held        ,Germany              ,High income        ,                                              ,                                                ,4/20/2020                          ,No                                         ,                              ,Full process             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Richter-Helm BioLogics is using manufacturing technology developed by VGXI Inc., a wholly owned subsidiary of GeneOne Life Science and Inovio's contract manufacturer for early-stage clinical trial supply, under a license agreement from VGXI. Richter-Helm BioLogics will transfer and rapidly scale up the current (400 L scale) production process for the INO-4800 DNA plasmid from VGXI          ",This manufacturing arrangement is partially funded by a 1.3m USD grant from CEPI.                                                                                                                                                                                                                                                                                                                                                                                                ,                           ,#N/A               ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://ir.inovio.com/news-releases/news-releases-details/2020/INOVIO-Expands-Manufacturing-of-COVID-19-DNA-Vaccine-INO-4800-With-New-Funding-from-CEPI/default.aspx
Inovio            ,Kaneka Eurogentec                       ,Publicly traded       ,Japan                ,High income        ,                                              ,                                                ,12/3/2020                          ,No                                         ,                              ,Full process             ,"Will be able to produce ""hundreds of millions of doses"" with the Kaneka Eurogentec facilities in Belgium.                                                                                                                                                                                                                                                                                                                                                                                                                              ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,World                      ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://ir.inovio.com/news-releases/news-releases-details/2020/INOVIO-Expands-Global-Manufacturing-Consortium-For-Its-COVID-19-Vaccine-Candidate-INO-4800-With-Addition-of-Kaneka-Eurogentec-S.A/default.aspx
Johnson & Johnson ,Catalent                                ,Publicly traded       ,United States        ,High income        ,                                              ,                                                ,4/29/2020                          ,No                                         ,                              ,Full process             ,"Full manufacturing at New Jersey plant for sale in US, and fill-finish manufacturing at its plant in Italy for the European market.                                                                                                                                                                                                                                                                                                                                                                                                      ",Plans to scale-up capacity with new machines and hiring of approximately 300 additional workers at their US plant.                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,United States              ,High income        ,European Union           ,High income        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.fiercepharma.com/manufacturing/j-j-touts-covid-vaccine-supply-chain-stability-eyes-plans-for-2022 ; https://www.catalent.com/catalent-news/catalent-signs-agreement-with-johnson-johnson-for-lead-covid-19-vaccine-candidate/
Johnson & Johnson ,Sanofi                                  ,Publicly traded       ,France               ,High income        ,144                                           ,                                                ,2/22/2021                          ,No                                         ,                              ,Full process             ,"144m doses/year, estimated based on reported 12m doses/month capacity. To be produced at facility in France - ""formulate and fill."" Not clear what market resultant vaccine will be sold on.                                                                                                                                                                                                                                                                                                                                           ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.sanofi.com/en/media-room/press-releases/2021/2021-02-22-11-40-00-2179318
Johnson & Johnson ,Merck & Co.                             ,Publicly traded       ,United States        ,High income        ,                                              ,                                                ,3/2/2021                           ,No                                         ,United States                 ,Full process             ,The US arranged for an agreement between J&J and Merck. One Merck facility will be used as fill-and-finish and another will be used for making the drug substance. Appears that these doses are intended primarily to be for the US market. Unclear how many doses will be produced at Merck facilities or when they will be ready to begin producing doses.                                                                                                                                                                               ,Adaptations to facilities                                                                                                                                                                                                                                                                                                                                                                                  ,The US is providing up to 269m USD to support Merck to adapt and make available its facilities for J&J vaccine production.                                                                                                                                                                                                                                                                                                                                                       ,United States              ,High income        ,World                    ,0                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.nytimes.com/2021/03/02/us/politics/merck-johnson-johnson-vaccine.html
Johnson & Johnson ,Grand River Aseptic Manufacturing (GRAM),Privately held        ,United States        ,High income        ,                                              ,                                                ,9/25/2020                          ,No                                         ,United States                 ,Fill-and-finish          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Completed a 60m USD expansion to their facility in June 2020.                                                                                                                                                                                                                                                                                                                                              ,"Supported by US government. Under a US government contract, GRAM will provide up to 100m doses for the US strategic federal reserve; not clear how this fits into the existing US purchase arrangements for J&J.                                                                                                                                                                                                                                                               ",Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.fiercepharma.com/manufacturing/j-j-touts-covid-vaccine-supply-chain-stability-eyes-plans-for-2022
Johnson & Johnson ,Reig Jofre                              ,Publicly traded       ,Spain                ,High income        ,50                                            ,                                                ,12/15/2020                         ,No                                         ,                              ,Full process             ,"Reig Jofre will provide formulation, filling and packaging of the vaccine for Johnson and Johnson to distribute.                                                                                                                                                                                                                                                                                                                                                                                                                         ",Deal includes tech transfer                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.reigjofre.com/en/noticias/item/reig-jofre-announces-technology-transfer-of-the-large-scale-manufacturing-in-spain-for-a-covid-19-vaccine-candidate/ ; https://www.reuters.com/article/us-reig-jofre-johnson-johnson-vaccine-idUSKBN28P0V2
Johnson & Johnson ,Aspen Pharmacare                        ,Publicly traded       ,South Africa         ,Upper middle income,300                                           ,                                                ,11/2/2020                          ,No                                         ,                              ,Full process             ,"J&J will provide capacity to enable Aspen to perform ""formulation, filling, and secondary packaging.""                                                                                                                                                                                                                                                                                                                                                                                                                                  ","The agreement between Aspen and J&J is ""subject to the completion of the relevant technology transfer activities and finalisation of certain commercial manufacturing terms.""                                                                                                                                                                                                                          ",184.2 million USD invested to upgrade facility                                                                                                                                                                                                                                                                                                                                                                                                                                   ,World                      ,0                  ,                         ,#N/A               ,All the produced vaccines will be exported to J&J. The South African govt is trying to secure some of these produced vaccines for local distribution                                                                                                                                                                                                                                                                                                                                                                                                              ,https://www.fiercepharma.com/manufacturing/j-j-touts-covid-vaccine-supply-chain-stability-eyes-plans-for-2022 ; https://www.reuters.com/article/uk-health-coronavirus-aspen-pharmacare-v-idUSKBN29C1V4 ; https://www.reuters.com/article/us-health-coronavirus-aspen-pharmacare/south-africas-aspen-agrees-initial-deal-to-make-jj-vaccine-candidate-idUSKBN27I0N8 ; https://www.aspenpharma.com/2020/11/02/aspen-announces-agreement-with-johnson-johnson-to-manufacture-investigational-covid-19-vaccine-candidate/
Johnson & Johnson ,Emergent BioSolutions                   ,Publicly traded       ,United States        ,High income        ,                                              ,1000                                            ,4/23/2020                          ,No                                         ,                              ,Full process             ,"Will provide manufacturing from molecule to market. After an initial technology transfer agreement in April of 2020 with an estimated value of 135 million USD, a large-scale, five-year contract was signed in July 2020. Contract valued at 480m USD for first two years. Manufacturing capacity of up to 4000L.                                                                                                                                                                                                                       ",Few details on the tech transfer.                                                                                                                                                                                                                                                                                                                                                                          ,Initial technology transfer valued at 135 million USD; later long-term five year contract valued at 480 million USD for first two years.                                                                                                                                                                                                                                                                                                                                         ,World                      ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"https://www.jnj.com/johnson-johnson-announces-collaboration-to-expand-manufacturing-capabilities-for-its-covid-19-vaccine-candidate-in-support-of-the-companys-goal-to-supply-more-than-one-billion-vaccine-doses-globally ; https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-five-year-agreement-large-scale-drug ; https://www.biospace.com/article/j-and-j-strikes-covid-19-manufacturing-deal-with-emergent-biosolutions/#:~:text=J%26J%20and%20Emergent%20BioSolutions%20Strike%20Manufacturing%20Deal%20for%20COVID%2D19%20Vaccine%20Candidate,-Published%3A%20Apr%2024&text=Late%20Thursday%2C%20the%20two%20companies,of%20the%20potential%20vaccine%20candidate."
Johnson & Johnson ,Grand River Aseptic Manufacturing (GRAM),Privately held        ,United States        ,High income        ,                                              ,100                                             ,9/25/2020                          ,No                                         ,                              ,Fill-and-finish          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"The deal ""includes technical transfer and fill and finish manufacture"" in new facilities. Finished a 60m USD expansion to their facility in June 2020.                                                                                                                                                                                                                                                 ",Partially funded through the US government (BARDA) funding.                                                                                                                                                                                                                                                                                                                                                                                                                      ,World                      ,0                  ,                         ,#N/A               ,"In addition to this production for J&, under a US government contract, GRAM will provide up to 100m doses for the US strategic federal reserve at facility in the US. Not clear how this 100m fits into existing US purchase agreements for J&J.                                                                                                                                                                                                                                                                                                                ",https://www.prnewswire.com/news-releases/gram-partners-with-johnson--johnson-on-manufacturing-in-fight-against-covid-19-301137966.html ; https://www.fiercepharma.com/manufacturing/johnson-johnson-signs-michigan-s-grand-river-to-help-covid-19-vaccine-finishing-work
Johnson & Johnson ,Vibalogics                              ,Privately held        ,Germany              ,High income        ,                                              ,                                                ,5/14/2020                          ,No                                         ,                              ,Full process             ,"Vibalogics to produce clinical trial material for J&J vaccine, resulting in production of thousands of doses. Have new equipment capable of ""filling and labelling more than 30,000 vials per batch.""                                                                                                                                                                                                                                                                                                                                  ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://vibalogics.com/vibalogics-announces-collaboration-with-janssens-to-provide-additional-clinical-trial-material-for-covid-19-vaccine-candidate/
Johnson & Johnson ,Biological E                            ,Privately held        ,India                ,Lower middle income,                                              ,600                                             ,8/13/2020                          ,No                                         ,                              ,Full process             ,"A news report in Feb 2021 quoted the managing director of Biological E stating that their were ""targeting 600 million doses for J&J""                                                                                                                                                                                                                                                                                                                                                                                                   ","Limited details on the tech transfer, but the agreement is part of an attempt ""for the creation / enhancement of manufacturing capacities"" for the J&J vaccine candidate. One news report noted that Biological E purchased a 39,000 square foot facility shortly after this arrangement was announced, which could potentially add ""more than 165 million doses to the drugmaker's annual capacity.""",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.jnj.in/about-jnj/company-statements/statement-on-johnson-johnsons-collaboration-in-india-with-biological-e-to-expand-manufacturing-capabilities-for-its-covid-19-vaccine-candidate ; https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/biological-e-signs-pact-with-jj-for-covid-19-vaccine-technology/articleshow/77522853.cms?from=mdr ; https://www.biologicale.com/news.html ; https://www.firstpost.com/india/biological-e-to-produce-600-mn-doses-of-johnson-johnson-covid-19-vaccine-a-year-9289811.html ; https://www.fiercepharma.com/manufacturing/j-j-touts-covid-vaccine-supply-chain-stability-eyes-plans-for-2022
Moderna           ,Recipharm                               ,Privately held        ,Sweden               ,High income        ,                                              ,                                                ,7/30/2020                          ,No                                         ,                              ,Full process             ,Will provide formulation and fill-and-finish for part of the vaccine supply outside the US. Will be manufatured at Recipharm's facility in France.                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,World                      ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.reuters.com/article/us-health-coronavirus-moderna-recipharm-idUSKBN2941TJ ; https://www.recipharm.com/press/recipharm-and-moderna-finalize-agreement-aseptic-drug-product-manufacturing-and-fill-finish
Moderna           ,"Laboratorios Farmacéuticos Rovi, S.A. ",Publicly traded       ,Spain                ,High income        ,                                              ,                                                ,7/9/2020                           ,No                                         ,                              ,Fill-and-finish          ,"Will provide large-scale commercial fill-and-finish manufacturing. Will support production of ""hundreds of millions of doses of the vaccine candidate intended to principally supply markets outisde the US""                                                                                                                                                                                                                                                                                                                           ","As part of deal, will procure new production line and equipment.                                                                                                                                                                                                                                                                                                                                         ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,World                      ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://investors.modernatx.com/news-releases/news-release-details/moderna-and-rovi-announce-collaboration-ous-fill-finish
Moderna           ,Catalent                                ,Publicly traded       ,United States        ,High income        ,                                              ,100                                             ,6/25/2020                          ,No                                         ,                              ,Fill-and-finish          ,Will provide fill and finish for at least 100m doses of vaccine candidate at US facility; may be expanded later for millions more doses.                                                                                                                                                                                                                                                                                                                                                                                                   ,Catalent will hire additional staff to allow for 24/7 staffing to increase capacity.                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.catalent.com/catalent-news/moderna-and-catalent-announce-collaboration-for-fill-finish-manufacturing-of-modernas-covid-19-vaccine-candidate/
Moderna           ,CordenPharma                            ,Privately held        ,Germany              ,High income        ,                                              ,                                                ,5/28/2020                          ,No                                         ,                              ,Bulk substance production,"CordenPharma will produce large-scale volumes of the lipid excipients to be used in the Moderna vaccine at sites in the US, Switzerland, and France.                                                                                                                                                                                                                                                                                                                                                                                     ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.cordenpharma.com/CordenPharma_and_Moderna_Extend_Lipid_Supply_Agreement_for_Moderna_Vaccine_mRNA-1273_Against_Novel_Coronavirus_SARS-CoV-2
Moderna           ,Lonza                                   ,Publicly traded       ,Switzerland          ,High income        ,1000                                          ,                                                ,5/1/2020                           ,No                                         ,United States                 ,Full process             ,"A 10 year ""Worldwide Strategic Collaboration"", including establishing manufacturing sites in both US and Switzerland                                                                                                                                                                                                                                                                                                                                                                                                                   ",Technology transfer expected to begin in June 2020                                                                                                                                                                                                                                                                                                                                                         ,Partially funded through the US government (BARDA) funding.                                                                                                                                                                                                                                                                                                                                                                                                                      ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www7.lonza.com/~/media/Files/japan/News/200501_Press_Release__Moderna_Lonza_COVID_FINAL.pdf
